User,STweekDay,STdateOnly,SThourOfDay,actID,activityName,stTS,distInMPrev,durInSecPrev,SMinsSinceMidnight,durationInSeconds,ETweekDay,ETdateOnly,EThourOfDay
0,3,2014-01-15,10,0,Others,2014-01-15T10:32:22Z,0,0,632,140,3,2014-01-15,10
0,3,2014-01-15,10,2,Computer,2014-01-15T10:34:42Z,0,0,634,2033,3,2014-01-15,11
0,3,2014-01-15,11,0,Others,2014-01-15T11:08:35Z,0,0,668,210,3,2014-01-15,11
0,3,2014-01-15,11,2,Computer,2014-01-15T11:12:05Z,0,0,672,180,3,2014-01-15,11
0,3,2014-01-15,11,0,Others,2014-01-15T11:15:05Z,0,0,675,139,3,2014-01-15,11
0,3,2014-01-15,11,2,Computer,2014-01-15T11:17:24Z,0,0,677,206,3,2014-01-15,11
0,3,2014-01-15,11,0,Others,2014-01-15T11:20:50Z,0,0,680,69,3,2014-01-15,11
0,3,2014-01-15,11,2,Computer,2014-01-15T11:21:59Z,0,0,681,71,3,2014-01-15,11
0,3,2014-01-15,11,0,Others,2014-01-15T11:23:10Z,0,0,683,769,3,2014-01-15,11
0,3,2014-01-15,11,2,Computer,2014-01-15T11:35:59Z,0,0,695,69,3,2014-01-15,11
0,3,2014-01-15,11,0,Others,2014-01-15T11:37:08Z,0,0,697,140,3,2014-01-15,11
0,3,2014-01-15,11,9,Socialising,2014-01-15T11:39:28Z,0,0,699,69,3,2014-01-15,11
0,3,2014-01-15,11,2,Computer,2014-01-15T11:40:37Z,0,0,700,1059,3,2014-01-15,11
0,3,2014-01-15,11,0,Others,2014-01-15T11:58:16Z,0,0,718,70,3,2014-01-15,11
0,3,2014-01-15,11,2,Computer,2014-01-15T11:59:26Z,0,0,719,564,3,2014-01-15,12
0,3,2014-01-15,12,9,Socialising,2014-01-15T12:08:50Z,0,0,728,148,3,2014-01-15,12
0,3,2014-01-15,12,2,Computer,2014-01-15T12:11:18Z,0,0,731,68,3,2014-01-15,12
0,3,2014-01-15,12,0,Others,2014-01-15T12:12:26Z,0,0,732,216,3,2014-01-15,12
0,3,2014-01-15,12,2,Computer,2014-01-15T12:16:02Z,0,0,736,497,3,2014-01-15,12
0,3,2014-01-15,12,0,Others,2014-01-15T12:24:19Z,0,0,744,212,3,2014-01-15,12
0,3,2014-01-15,12,9,Socialising,2014-01-15T12:27:51Z,0,0,747,416,3,2014-01-15,12
0,3,2014-01-15,12,0,Others,2014-01-15T12:34:47Z,0,0,754,140,3,2014-01-15,12
0,3,2014-01-15,12,9,Socialising,2014-01-15T12:37:07Z,0,0,757,281,3,2014-01-15,12
0,3,2014-01-15,12,0,Others,2014-01-15T12:41:48Z,0,0,761,141,3,2014-01-15,12
0,3,2014-01-15,12,9,Socialising,2014-01-15T12:44:09Z,0,0,764,347,3,2014-01-15,12
0,3,2014-01-15,12,0,Others,2014-01-15T12:49:56Z,0,0,769,68,3,2014-01-15,12
0,3,2014-01-15,12,9,Socialising,2014-01-15T12:51:04Z,0,0,771,981,3,2014-01-15,13
0,3,2014-01-15,13,0,Others,2014-01-15T13:07:25Z,0,0,787,70,3,2014-01-15,13
